Enode,Name,Busbar,Substation,Area,ReportNode
N120159,FREDERICKSBURG 10 1,,FREDERICKSBURG 10,,1
N120160,INGRAM 6 1,,INGRAM 6,,1
N120161,KERRVILLE 7 1,,KERRVILLE 7,,1
N120162,KERRVILLE 8 1,,KERRVILLE 8,,1
N120163,KERRVILLE 9 1,,KERRVILLE 9,,1
N120164,COMFORT 6 1,,COMFORT 6,,1
N120165,COMFORT 7 1,,COMFORT 7,,1
N120166,BERGHEIM 2 1,,BERGHEIM 2,,1
N120167,BOERNE 8 1,,BOERNE 8,,1
N120168,BANDERA 4 1,,BANDERA 4,,1
N120169,BANDERA 5 1,,BANDERA 5,,1
N120170,PIPE CREEK 4 1,,PIPE CREEK 4,,1
N120171,PIPE CREEK 5 1,,PIPE CREEK 5,,1
N120172,MICO 2 1,,MICO 2,,1
N120173,MEDINA 3 1,,MEDINA 3,,1
N120174,NATALIA 2 1,,NATALIA 2,,1
N120175,PEARSALL 5 1,,PEARSALL 5,,1
N120176,DILLEY 5 1,,DILLEY 5,,1
N120177,DEVINE 4 1,,DEVINE 4,,1
N120178,D HANIS 3 1,,D HANIS 3,,1
N120179,HONDO 9 1,,HONDO 9,,1
N120180,CASTROVILLE 2 1,,CASTROVILLE 2,,1
N120181,NATALIA 3 1,,NATALIA 3,,1
N120182,MOORE 3 1,,MOORE 3,,1
N120183,POTEET 4 1,,POTEET 4,,1
N120184,POTEET 5 1,,POTEET 5,,1
N120185,LEMING 4 1,,LEMING 4,,1
N120186,PLEASANTON 4 1,,PLEASANTON 4,,1
N120187,PLEASANTON 5 1,,PLEASANTON 5,,1
N120188,CHARLOTTE 4 1,,CHARLOTTE 4,,1
N120189,CASTROVILLE 3 1,,CASTROVILLE 3,,1
N120190,RUNGE 1 1,,RUNGE 1,,1
N120191,KENEDY 1 1,,KENEDY 1,,1
N120192,RUNGE 2 1,,RUNGE 2,,1
N120193,RUNGE 3 1,,RUNGE 3,,1
N120194,PAWNEE 2 1,,PAWNEE 2,,1
N120195,KENEDY 2 1,,KENEDY 2,,1
N120196,NORDHEIM 1 1,,NORDHEIM 1,,1
N120197,FLORESVILLE 3 1,,FLORESVILLE 3,,1
N120198,HOBSON 3 1,,HOBSON 3,,1
N120199,HOBSON 3 2,,HOBSON 3,,1
N120200,HELOTES 1 1,,HELOTES 1,,1
N120201,HELOTES 2 1,,HELOTES 2,,1
N120202,BOERNE 9 1,,BOERNE 9,,1
N120203,HELOTES 3 1,,HELOTES 3,,1
N120204,HELOTES 4 1,,HELOTES 4,,1
N120205,HELOTES 5 1,,HELOTES 5,,1
N120206,HELOTES 5 2,,HELOTES 5,,1
N120207,HELOTES 5 3,,HELOTES 5,,1
N120208,HELOTES 5 4,,HELOTES 5,,1
N120209,HELOTES 6 1,,HELOTES 6,,1
N120210,HELOTES 7 1,,HELOTES 7,,1
N120211,BOERNE 10 1,,BOERNE 10,,1
N120212,BOERNE 10 2,,BOERNE 10,,1
N120213,ELMENDORF 2 1,,ELMENDORF 2,,1
N120214,ELMENDORF 3 1,,ELMENDORF 3,,1
N120215,ELMENDORF 4 1,,ELMENDORF 4,,1
N120216,ELMENDORF 5 1,,ELMENDORF 5,,1
N120217,LEMING 5 1,,LEMING 5,,1
N120218,ELMENDORF 6 1,,ELMENDORF 6,,1
N120219,VON ORMY 1 1,,VON ORMY 1,,1
N120220,ELMENDORF 7 1,,ELMENDORF 7,,1
N120221,VON ORMY 2 1,,VON ORMY 2,,1
N120222,VON ORMY 3 1,,VON ORMY 3,,1
N120223,VON ORMY 3 2,,VON ORMY 3,,1
N120224,VON ORMY 4 1,,VON ORMY 4,,1
N120225,UNIVERSAL CITY 1 1,,UNIVERSAL CITY 1,,1
N120226,SAN ANTONIO 1 1,,SAN ANTONIO 1,,1
N120227,UNIVERSAL CITY 2 1,,UNIVERSAL CITY 2,,1
N120228,UNIVERSAL CITY 2 2,,UNIVERSAL CITY 2,,1
N120229,UNIVERSAL CITY 3 1,,UNIVERSAL CITY 3,,1
N120230,SAN ANTONIO 2 1,,SAN ANTONIO 2,,1
N120231,SAN ANTONIO 3 1,,SAN ANTONIO 3,,1
N120232,SAN ANTONIO 4 1,,SAN ANTONIO 4,,1
N120233,UNIVERSAL CITY 4 1,,UNIVERSAL CITY 4,,1
N120234,UNIVERSAL CITY 5 1,,UNIVERSAL CITY 5,,1
N120235,UNIVERSAL CITY 6 1,,UNIVERSAL CITY 6,,1
N120236,UNIVERSAL CITY 6 2,,UNIVERSAL CITY 6,,1
N120237,UNIVERSAL CITY 7 1,,UNIVERSAL CITY 7,,1
N120238,UNIVERSAL CITY 8 1,,UNIVERSAL CITY 8,,1
N120239,SAN ANTONIO 5 1,,SAN ANTONIO 5,,1
N120240,SAN ANTONIO 5 2,,SAN ANTONIO 5,,1
N120241,SAN ANTONIO 6 1,,SAN ANTONIO 6,,1
N120242,SAN ANTONIO 6 2,,SAN ANTONIO 6,,1
N120243,UNIVERSAL CITY 9 1,,UNIVERSAL CITY 9,,1
N120244,ATASCOSA 1 1,,ATASCOSA 1,,1
N120245,LACKLAND A F B 1 1,,LACKLAND A F B 1,,1
N120246,LACKLAND A F B 1 2,,LACKLAND A F B 1,,1
N120247,LACKLAND A F B 2 1,,LACKLAND A F B 2,,1
N120248,RIO MEDINA 3 1,,RIO MEDINA 3,,1
N120249,RIO MEDINA 3 2,,RIO MEDINA 3,,1
N120250,ATASCOSA 2 1,,ATASCOSA 2,,1
N120251,LACKLAND A F B 3 1,,LACKLAND A F B 3,,1
N120252,LACKLAND A F B 4 1,,LACKLAND A F B 4,,1
N120253,LACKLAND A F B 4 2,,LACKLAND A F B 4,,1
N120254,LACKLAND A F B 5 1,,LACKLAND A F B 5,,1
N120255,ATASCOSA 3 1,,ATASCOSA 3,,1
N120256,SOMERSET 2 1,,SOMERSET 2,,1
N120257,ATASCOSA 4 1,,ATASCOSA 4,,1
N120258,LACKLAND A F B 6 1,,LACKLAND A F B 6,,1
N120259,LACKLAND A F B 6 2,,LACKLAND A F B 6,,1
N120260,LACKLAND A F B 7 1,,LACKLAND A F B 7,,1
N120261,LACKLAND A F B 7 2,,LACKLAND A F B 7,,1
N120262,SAN ANTONIO 7 1,,SAN ANTONIO 7,,1
N120263,SAN ANTONIO 8 1,,SAN ANTONIO 8,,1
N120264,SAN ANTONIO 9 1,,SAN ANTONIO 9,,1
N120265,SAN ANTONIO 10 1,,SAN ANTONIO 10,,1
N120266,SAN ANTONIO 11 1,,SAN ANTONIO 11,,1
N120267,SAN ANTONIO 12 1,,SAN ANTONIO 12,,1
N120268,SAN ANTONIO 13 1,,SAN ANTONIO 13,,1
N120269,SAN ANTONIO 13 2,,SAN ANTONIO 13,,1
N120270,SAN ANTONIO 14 1,,SAN ANTONIO 14,,1
N120271,SAN ANTONIO 15 1,,SAN ANTONIO 15,,1
N120272,SAN ANTONIO 16 1,,SAN ANTONIO 16,,1
N120273,LACKLAND A F B 8 1,,LACKLAND A F B 8,,1
N120274,SAN ANTONIO 17 1,,SAN ANTONIO 17,,1
N120275,SAN ANTONIO 18 1,,SAN ANTONIO 18,,1
N120276,SAN ANTONIO 18 2,,SAN ANTONIO 18,,1
N120277,SAN ANTONIO 19 1,,SAN ANTONIO 19,,1
N120278,SAN ANTONIO 19 2,,SAN ANTONIO 19,,1
N120279,LACKLAND A F B 9 1,,LACKLAND A F B 9,,1
N120280,LACKLAND A F B 9 2,,LACKLAND A F B 9,,1
N120281,SAN ANTONIO 20 1,,SAN ANTONIO 20,,1
N120282,SAN ANTONIO 21 1,,SAN ANTONIO 21,,1
N120283,SAN ANTONIO 22 1,,SAN ANTONIO 22,,1
N120284,SAN ANTONIO 23 1,,SAN ANTONIO 23,,1
N120285,SAN ANTONIO 24 1,,SAN ANTONIO 24,,1
N120286,SAN ANTONIO 25 1,,SAN ANTONIO 25,,1
N120287,SAN ANTONIO 26 1,,SAN ANTONIO 26,,1
N120288,SAN ANTONIO 26 2,,SAN ANTONIO 26,,1
N120289,BULVERDE 1 1,,BULVERDE 1,,1
N120290,BULVERDE 1 2,,BULVERDE 1,,1
N120291,SPRING BRANCH 1 1,,SPRING BRANCH 1,,1
N120292,SPRING BRANCH 2 1,,SPRING BRANCH 2,,1
N120293,SPRING BRANCH 2 2,,SPRING BRANCH 2,,1
N120294,SPRING BRANCH 3 1,,SPRING BRANCH 3,,1
N120295,BULVERDE 2 1,,BULVERDE 2,,1
N120296,BULVERDE 3 1,,BULVERDE 3,,1
N120297,BULVERDE 4 1,,BULVERDE 4,,1
N120298,BULVERDE 5 1,,BULVERDE 5,,1
N120299,SPRING BRANCH 4 1,,SPRING BRANCH 4,,1
N120300,HELOTES 8 1,,HELOTES 8,,1
N120301,HELOTES 9 1,,HELOTES 9,,1
N120302,RIO MEDINA 4 1,,RIO MEDINA 4,,1
N120303,RIO MEDINA 4 2,,RIO MEDINA 4,,1
N120304,HELOTES 10 1,,HELOTES 10,,1
N120305,SAN ANTONIO 27 1,,SAN ANTONIO 27,,1
N120306,LACKLAND A F B 10 1,,LACKLAND A F B 10,,1
N120307,LACKLAND A F B 11 1,,LACKLAND A F B 11,,1
N120308,HELOTES 11 1,,HELOTES 11,,1
N120309,LACKLAND A F B 12 1,,LACKLAND A F B 12,,1
N120310,LACKLAND A F B 12 2,,LACKLAND A F B 12,,1
N120311,SAN ANTONIO 28 1,,SAN ANTONIO 28,,1
N120312,SAN ANTONIO 28 2,,SAN ANTONIO 28,,1
N120313,SAN ANTONIO 28 3,,SAN ANTONIO 28,,1
N120314,SAN ANTONIO 28 4,,SAN ANTONIO 28,,1
N120315,HELOTES 12 1,,HELOTES 12,,1
N120316,HELOTES 12 2,,HELOTES 12,,1
N120317,HELOTES 13 1,,HELOTES 13,,1
N120318,HELOTES 13 2,,HELOTES 13,,1
N120319,HELOTES 14 1,,HELOTES 14,,1
N120320,HELOTES 14 2,,HELOTES 14,,1
N120321,HELOTES 15 1,,HELOTES 15,,1
N120322,HELOTES 15 2,,HELOTES 15,,1
N120323,LACKLAND A F B 13 1,,LACKLAND A F B 13,,1
N120324,SAN ANTONIO 29 1,,SAN ANTONIO 29,,1
N120325,SAN ANTONIO 30 1,,SAN ANTONIO 30,,1
N120326,SAN ANTONIO 31 1,,SAN ANTONIO 31,,1
N120327,SAN ANTONIO 31 2,,SAN ANTONIO 31,,1
N120328,SAN ANTONIO 32 1,,SAN ANTONIO 32,,1
N120329,SAN ANTONIO 32 2,,SAN ANTONIO 32,,1
N120330,ELMENDORF 8 1,,ELMENDORF 8,,1
N120331,ELMENDORF 8 2,,ELMENDORF 8,,1
N120332,CONVERSE 1 1,,CONVERSE 1,,1
N120333,SAN ANTONIO 33 1,,SAN ANTONIO 33,,1
N120334,SAN ANTONIO 34 1,,SAN ANTONIO 34,,1
N120335,ELMENDORF 9 1,,ELMENDORF 9,,1
N120336,SAN ANTONIO 35 1,,SAN ANTONIO 35,,1
N120337,SAN ANTONIO 35 2,,SAN ANTONIO 35,,1
N120338,CONVERSE 2 1,,CONVERSE 2,,1
N120339,CONVERSE 2 2,,CONVERSE 2,,1
N120340,SAN ANTONIO 36 1,,SAN ANTONIO 36,,1
N120341,SAN ANTONIO 36 2,,SAN ANTONIO 36,,1
N120342,SAN ANTONIO 37 1,,SAN ANTONIO 37,,1
N120343,ADKINS 3 1,,ADKINS 3,,1
N120344,SAINT HEDWIG 2 1,,SAINT HEDWIG 2,,1
N120345,ADKINS 4 1,,ADKINS 4,,1
N120346,LA VERNIA 2 1,,LA VERNIA 2,,1
N120347,SAINT HEDWIG 3 1,,SAINT HEDWIG 3,,1
N120348,ADKINS 5 1,,ADKINS 5,,1
N120349,SAINT HEDWIG 4 1,,SAINT HEDWIG 4,,1
N120350,SUTHERLAND SPRINGS 2 1,,SUTHERLAND SPRINGS 2,,1
N120351,BULVERDE 6 1,,BULVERDE 6,,1
N120352,BULVERDE 6 2,,BULVERDE 6,,1
N120353,BULVERDE 6 3,,BULVERDE 6,,1
N120354,BULVERDE 6 4,,BULVERDE 6,,1
N120355,BULVERDE 6 5,,BULVERDE 6,,1
N120356,BULVERDE 7 1,,BULVERDE 7,,1
N120357,BULVERDE 7 2,,BULVERDE 7,,1
N120358,BULVERDE 7 3,,BULVERDE 7,,1
N120359,BULVERDE 7 4,,BULVERDE 7,,1
N120360,BULVERDE 8 1,,BULVERDE 8,,1
N120361,BULVERDE 9 1,,BULVERDE 9,,1
N120362,BULVERDE 10 1,,BULVERDE 10,,1
N120363,SAN ANTONIO 38 1,,SAN ANTONIO 38,,1
N120364,SAN ANTONIO 38 2,,SAN ANTONIO 38,,1
N120365,BULVERDE 11 1,,BULVERDE 11,,1
N120366,BULVERDE 12 1,,BULVERDE 12,,1
N120367,BULVERDE 13 1,,BULVERDE 13,,1
N120368,SAN ANTONIO 39 1,,SAN ANTONIO 39,,1
N120369,SAN ANTONIO 40 1,,SAN ANTONIO 40,,1
N120370,SAN ANTONIO 40 2,,SAN ANTONIO 40,,1
N120371,SAN ANTONIO 41 1,,SAN ANTONIO 41,,1
N120372,SAN ANTONIO 41 2,,SAN ANTONIO 41,,1
N120373,SAN ANTONIO 42 1,,SAN ANTONIO 42,,1
N120374,SAN ANTONIO 43 1,,SAN ANTONIO 43,,1
N120375,SAN ANTONIO 43 2,,SAN ANTONIO 43,,1
N120376,SAN ANTONIO 44 1,,SAN ANTONIO 44,,1
N120377,HELOTES 16 1,,HELOTES 16,,1
N120378,SAN ANTONIO 45 1,,SAN ANTONIO 45,,1
N120379,SAN ANTONIO 46 1,,SAN ANTONIO 46,,1
N120380,SAN ANTONIO 47 1,,SAN ANTONIO 47,,1
N120381,SAN ANTONIO 47 2,,SAN ANTONIO 47,,1
N120382,SAN ANTONIO 48 1,,SAN ANTONIO 48,,1
N120383,SAN ANTONIO 49 1,,SAN ANTONIO 49,,1
N120384,SAN ANTONIO 50 1,,SAN ANTONIO 50,,1
N120385,SAN ANTONIO 51 1,,SAN ANTONIO 51,,1
N120386,SAN ANTONIO 52 1,,SAN ANTONIO 52,,1
N120387,CONVERSE 3 1,,CONVERSE 3,,1
N120388,CONVERSE 4 1,,CONVERSE 4,,1
N120389,CONVERSE 5 1,,CONVERSE 5,,1
N120390,UNIVERSAL CITY 10 1,,UNIVERSAL CITY 10,,1
N120391,UNIVERSAL CITY 10 2,,UNIVERSAL CITY 10,,1
N120392,CONVERSE 6 1,,CONVERSE 6,,1
N120393,SAN ANTONIO 53 1,,SAN ANTONIO 53,,1
N120394,UNIVERSAL CITY 11 1,,UNIVERSAL CITY 11,,1
N120395,CONVERSE 7 1,,CONVERSE 7,,1
N120396,CONVERSE 8 1,,CONVERSE 8,,1
N120397,CONVERSE 8 2,,CONVERSE 8,,1
N120398,UNIVERSAL CITY 12 1,,UNIVERSAL CITY 12,,1
N120399,UNIVERSAL CITY 12 2,,UNIVERSAL CITY 12,,1
N120400,LACKLAND A F B 14 1,,LACKLAND A F B 14,,1
N120401,SAN ANTONIO 54 1,,SAN ANTONIO 54,,1
N120402,SAN ANTONIO 54 2,,SAN ANTONIO 54,,1
N120403,LACKLAND A F B 15 1,,LACKLAND A F B 15,,1
N120404,LACKLAND A F B 15 2,,LACKLAND A F B 15,,1
N120405,SAN ANTONIO 55 1,,SAN ANTONIO 55,,1
N120406,LACKLAND A F B 16 1,,LACKLAND A F B 16,,1
N120407,LACKLAND A F B 16 2,,LACKLAND A F B 16,,1
N120408,LACKLAND A F B 17 1,,LACKLAND A F B 17,,1
N120409,SAN ANTONIO 56 1,,SAN ANTONIO 56,,1
N120410,ELMENDORF 10 1,,ELMENDORF 10,,1
N120411,SAN ANTONIO 57 1,,SAN ANTONIO 57,,1
N120412,SAN ANTONIO 57 2,,SAN ANTONIO 57,,1
N120413,LACKLAND A F B 18 1,,LACKLAND A F B 18,,1
N120414,LACKLAND A F B 19 1,,LACKLAND A F B 19,,1
N120415,UNIVERSAL CITY 13 1,,UNIVERSAL CITY 13,,1
N120416,UNIVERSAL CITY 13 2,,UNIVERSAL CITY 13,,1
N120417,UNIVERSAL CITY 13 3,,UNIVERSAL CITY 13,,1
N120418,UNIVERSAL CITY 14 1,,UNIVERSAL CITY 14,,1
N120419,UNIVERSAL CITY 14 2,,UNIVERSAL CITY 14,,1
N120420,CIBOLO 1 1,,CIBOLO 1,,1
N120421,CIBOLO 2 1,,CIBOLO 2,,1
N120422,SCHERTZ 1 1,,SCHERTZ 1,,1
N120423,UNIVERSAL CITY 15 1,,UNIVERSAL CITY 15,,1
N120424,CIBOLO 3 1,,CIBOLO 3,,1
N120425,CIBOLO 4 1,,CIBOLO 4,,1
N120426,UNIVERSAL CITY 16 1,,UNIVERSAL CITY 16,,1
N120427,CIBOLO 5 1,,CIBOLO 5,,1
N120428,CIBOLO 5 2,,CIBOLO 5,,1
N120429,SCHERTZ 2 1,,SCHERTZ 2,,1
N120430,CIBOLO 6 1,,CIBOLO 6,,1
N120431,CIBOLO 7 1,,CIBOLO 7,,1
N120432,UNIVERSAL CITY 17 1,,UNIVERSAL CITY 17,,1
N120433,LACKLAND A F B 20 1,,LACKLAND A F B 20,,1
N120434,LACKLAND A F B 20 2,,LACKLAND A F B 20,,1
N120435,LACKLAND A F B 20 3,,LACKLAND A F B 20,,1
N120436,LACKLAND A F B 20 4,,LACKLAND A F B 20,,1
N120437,ADKINS 6 1,,ADKINS 6,,1
N120438,ADKINS 6 2,,ADKINS 6,,1
N120439,ADKINS 6 3,,ADKINS 6,,1
N120440,ELMENDORF 11 1,,ELMENDORF 11,,1
N120441,ELMENDORF 11 2,,ELMENDORF 11,,1
N120442,ELMENDORF 11 3,,ELMENDORF 11,,1
N120443,ELMENDORF 11 4,,ELMENDORF 11,,1
N120444,ELMENDORF 11 5,,ELMENDORF 11,,1
N120445,ELMENDORF 11 6,,ELMENDORF 11,,1
N120446,ELMENDORF 11 7,,ELMENDORF 11,,1
N120447,PEARSALL 6 1,,PEARSALL 6,,1
N120448,PEARSALL 6 2,,PEARSALL 6,,1
N120449,PEARSALL 6 3,,PEARSALL 6,,1
N120450,PEARSALL 6 4,,PEARSALL 6,,1
N120451,PEARSALL 6 5,,PEARSALL 6,,1
N120452,PEARSALL 6 6,,PEARSALL 6,,1
N120453,PEARSALL 6 7,,PEARSALL 6,,1
N120454,PEARSALL 6 8,,PEARSALL 6,,1
N120455,PEARSALL 6 9,,PEARSALL 6,,1
N120456,PEARSALL 6 10,,PEARSALL 6,,1
N120457,PEARSALL 6 11,,PEARSALL 6,,1
N120458,PEARSALL 6 12,,PEARSALL 6,,1
N120459,PEARSALL 6 13,,PEARSALL 6,,1
N120460,PEARSALL 6 14,,PEARSALL 6,,1
N120461,PEARSALL 6 15,,PEARSALL 6,,1
N120462,ADKINS 7 1,,ADKINS 7,,1
N120463,ADKINS 7 2,,ADKINS 7,,1
N120464,ADKINS 7 3,,ADKINS 7,,1
N120466,CHRISTINE 4 1,,CHRISTINE 4,,1
N120467,CHRISTINE 4 2,,CHRISTINE 4,,1
N120468,ADKINS 8 1,,ADKINS 8,,1
N120469,ADKINS 8 2,,ADKINS 8,,1
N120470,ADKINS 8 3,,ADKINS 8,,1
N120471,ELMENDORF 12 1,,ELMENDORF 12,,1
N120472,ELMENDORF 12 2,,ELMENDORF 12,,1
N120473,ELMENDORF 12 3,,ELMENDORF 12,,1
N120474,ELMENDORF 12 4,,ELMENDORF 12,,1
N120475,CONVERSE 9 1,,CONVERSE 9,,1
N120476,CONVERSE 9 2,,CONVERSE 9,,1
N120477,CONVERSE 9 3,,CONVERSE 9,,1
N120478,CONVERSE 9 4,,CONVERSE 9,,1
N120479,CONVERSE 9 5,,CONVERSE 9,,1
N120480,CONVERSE 9 6,,CONVERSE 9,,1
N120481,CONVERSE 9 7,,CONVERSE 9,,1
N120482,LACKLAND A F B 21 1,,LACKLAND A F B 21,,1
N120483,LACKLAND A F B 21 2,,LACKLAND A F B 21,,1
N120484,LACKLAND A F B 21 3,,LACKLAND A F B 21,,1
N120485,LACKLAND A F B 21 4,,LACKLAND A F B 21,,1
N120486,LACKLAND A F B 21 5,,LACKLAND A F B 21,,1
N120487,LACKLAND A F B 21 6,,LACKLAND A F B 21,,1
N120488,LACKLAND A F B 21 7,,LACKLAND A F B 21,,1
N120489,ELMENDORF 13 1,,ELMENDORF 13,,1
N120490,ELMENDORF 13 2,,ELMENDORF 13,,1
N120492,BRACKETTVILLE 4 1,,BRACKETTVILLE 4,,1
N120493,BRACKETTVILLE 4 2,,BRACKETTVILLE 4,,1
N120494,SOMERSET 3 1,,SOMERSET 3,,1
N120495,SOMERSET 3 2,,SOMERSET 3,,1
N120496,SOMERSET 3 3,,SOMERSET 3,,1
N120497,ELMENDORF 14 1,,ELMENDORF 14,,1
N120498,ELMENDORF 14 2,,ELMENDORF 14,,1
N120499,ELMENDORF 15 1,,ELMENDORF 15,,1
N120500,ELMENDORF 15 2,,ELMENDORF 15,,1
N120501,ELMENDORF 16 1,,ELMENDORF 16,,1
N120502,ELMENDORF 16 2,,ELMENDORF 16,,1
N120503,ELMENDORF 16 3,,ELMENDORF 16,,1
N120504,CONVERSE 10 1,,CONVERSE 10,,1
N120505,CONVERSE 10 2,,CONVERSE 10,,1
N120506,BRACKETTVILLE 5 1,,BRACKETTVILLE 5,,1
N120507,BRACKETTVILLE 5 2,,BRACKETTVILLE 5,,1
N120508,CONVERSE 11 1,,CONVERSE 11,,1
N120509,CONVERSE 11 2,,CONVERSE 11,,1
N120511,KNIPPA 4 1,,KNIPPA 4,,1
N120512,KNIPPA 4 2,,KNIPPA 4,,1
N120513,LACKLAND A F B 22 1,,LACKLAND A F B 22,,1
N120514,LACKLAND A F B 22 2,,LACKLAND A F B 22,,1
N120515,LACKLAND A F B 22 3,,LACKLAND A F B 22,,1
N120516,LACKLAND A F B 22 4,,LACKLAND A F B 22,,1
N120517,ADKINS 9 1,,ADKINS 9,,1
N120518,ADKINS 9 2,,ADKINS 9,,1
N120519,RIO FRIO 1 1,,RIO FRIO 1,,1
N120520,RIO FRIO 1 2,,RIO FRIO 1,,1
N120521,CONVERSE 12 1,,CONVERSE 12,,1
N120522,CONVERSE 12 2,,CONVERSE 12,,1
N120523,LACKLAND A F B 23 1,,LACKLAND A F B 23,,1
N120524,LACKLAND A F B 23 2,,LACKLAND A F B 23,,1
N120525,LACKLAND A F B 24 1,,LACKLAND A F B 24,,1
N120526,LACKLAND A F B 24 2,,LACKLAND A F B 24,,1
N130001,MABANK 1 1,,MABANK 1,,1
N130002,KAUFMAN 1 1,,KAUFMAN 1,,1
N130003,KAUFMAN 2 1,,KAUFMAN 2,,1
N130004,POWELL 1 1,,POWELL 1,,1
N130005,WAXAHACHIE 1 1,,WAXAHACHIE 1,,1
N130006,CORSICANA 1 1,,CORSICANA 1,,1
N130007,PALMER 1 1,,PALMER 1,,1
N130008,BARRY 1 1,,BARRY 1,,1
N130009,DAWSON 1 1,,DAWSON 1,,1
N130010,BARRY 2 1,,BARRY 2,,1
N130011,RICHLAND 1 1,,RICHLAND 1,,1
N130012,SCURRY 1 1,,SCURRY 1,,1
N130013,KAUFMAN 3 1,,KAUFMAN 3,,1
N130014,WILMER 1 1,,WILMER 1,,1
N130015,BARDWELL 1 1,,BARDWELL 1,,1
N130016,ENNIS 1 1,,ENNIS 1,,1
N130017,SCURRY 2 1,,SCURRY 2,,1
N130018,ENNIS 2 1,,ENNIS 2,,1
N130019,KEMP 1 1,,KEMP 1,,1
N130020,BLOOMING GROVE 1 1,,BLOOMING GROVE 1,,1
N130021,ITALY 1 1,,ITALY 1,,1
N130022,BLOOMING GROVE 2 1,,BLOOMING GROVE 2,,1
N130023,RICE 1 1,,RICE 1,,1
N130024,PURDON 1 1,,PURDON 1,,1
N130025,POWELL 2 1,,POWELL 2,,1
N130026,PURDON 2 1,,PURDON 2,,1
N130027,RICE 2 1,,RICE 2,,1
N130028,FERRIS 1 1,,FERRIS 1,,1
N130029,TEHUACANA 1 1,,TEHUACANA 1,,1
N130030,BARRY 3 1,,BARRY 3,,1
N130031,CORSICANA 2 1,,CORSICANA 2,,1
N130032,COOLIDGE 1 1,,COOLIDGE 1,,1
N130033,TEHUACANA 2 1,,TEHUACANA 2,,1
N130034,WORTHAM 1 1,,WORTHAM 1,,1
N130035,BALCH SPRINGS 1 1,,BALCH SPRINGS 1,,1
N130036,BALCH SPRINGS 1 2,,BALCH SPRINGS 1,,1
N130037,BALCH SPRINGS 2 1,,BALCH SPRINGS 2,,1
N130038,BALCH SPRINGS 2 2,,BALCH SPRINGS 2,,1
N130039,WILMER 2 1,,WILMER 2,,1
N130040,WILMER 2 2,,WILMER 2,,1
N130041,SEAGOVILLE 1 1,,SEAGOVILLE 1,,1
N130042,SEAGOVILLE 1 2,,SEAGOVILLE 1,,1
N130043,WILMER 3 1,,WILMER 3,,1
N130044,SEAGOVILLE 2 1,,SEAGOVILLE 2,,1
N130045,BALCH SPRINGS 3 1,,BALCH SPRINGS 3,,1
N130046,DALLAS 1 1,,DALLAS 1,,1
N130047,DUNCANVILLE 1 1,,DUNCANVILLE 1,,1
N130048,DALLAS 2 1,,DALLAS 2,,1
N130049,DALLAS 3 1,,DALLAS 3,,1
N130050,DALLAS 4 1,,DALLAS 4,,1
N130051,DALLAS 5 1,,DALLAS 5,,1
N130052,DALLAS 5 2,,DALLAS 5,,1
N130053,DALLAS 6 1,,DALLAS 6,,1
N130054,DALLAS 6 2,,DALLAS 6,,1
N130055,DUNCANVILLE 2 1,,DUNCANVILLE 2,,1
N130056,DALLAS 7 1,,DALLAS 7,,1
N130057,DALLAS 8 1,,DALLAS 8,,1
N130058,DUNCANVILLE 3 1,,DUNCANVILLE 3,,1
N130059,DUNCANVILLE 4 1,,DUNCANVILLE 4,,1
N130060,DALLAS 9 1,,DALLAS 9,,1
N130061,DUNCANVILLE 5 1,,DUNCANVILLE 5,,1
N130062,DALLAS 10 1,,DALLAS 10,,1
N130063,GRAND PRAIRIE 1 1,,GRAND PRAIRIE 1,,1
N130064,DALLAS 11 1,,DALLAS 11,,1
N130065,DALLAS 12 1,,DALLAS 12,,1
N130066,DUNCANVILLE 6 1,,DUNCANVILLE 6,,1
N130067,DUNCANVILLE 6 2,,DUNCANVILLE 6,,1
N130068,DUNCANVILLE 7 1,,DUNCANVILLE 7,,1
N130069,DUNCANVILLE 7 2,,DUNCANVILLE 7,,1
N130070,DUNCANVILLE 8 1,,DUNCANVILLE 8,,1
N130071,DALLAS 13 1,,DALLAS 13,,1
N130072,DALLAS 14 1,,DALLAS 14,,1
N130073,MESQUITE 1 1,,MESQUITE 1,,1
N130074,BALCH SPRINGS 4 1,,BALCH SPRINGS 4,,1
N130075,BALCH SPRINGS 4 2,,BALCH SPRINGS 4,,1
N130076,SUNNYVALE 1 1,,SUNNYVALE 1,,1
N130077,SUNNYVALE 1 2,,SUNNYVALE 1,,1
N130078,SUNNYVALE 2 1,,SUNNYVALE 2,,1
N130079,BALCH SPRINGS 5 1,,BALCH SPRINGS 5,,1
N130080,MESQUITE 2 1,,MESQUITE 2,,1
N130081,MESQUITE 2 2,,MESQUITE 2,,1
N130082,MESQUITE 3 1,,MESQUITE 3,,1
N130083,MESQUITE 3 2,,MESQUITE 3,,1
N130084,MESQUITE 4 1,,MESQUITE 4,,1
N130085,HUTCHINS 1 1,,HUTCHINS 1,,1
N130086,MESQUITE 5 1,,MESQUITE 5,,1
N130087,DALLAS 15 1,,DALLAS 15,,1
N130088,MESQUITE 6 1,,MESQUITE 6,,1
N130089,MESQUITE 7 1,,MESQUITE 7,,1
N130090,BALCH SPRINGS 6 1,,BALCH SPRINGS 6,,1
N130091,BALCH SPRINGS 6 2,,BALCH SPRINGS 6,,1
