CostCurve,Point,X,Y
N220156_1,2,38.800,-31.830
N220156_1,3,58.200,-31.810
N220156_1,4,77.600,-31.780
N220156_1,5,82.000,-31.760
N220159_1,1,33.000,-30.650
N220159_1,2,66.000,-29.650
N220169_1,1,124.200,-4.900
N220171_1,1,90.000,0.600
N220174_1,1,120.000,2.190
N220176_1,1,119.900,-35.580
N220178_1,1,150.000,1.780
N220181_1,1,118.000,-31.530
N220183_1,1,142.500,-31.600
N220186_1,1,115.500,-31.600
N220191_2,1,18.500,-31.640
N220191_2,2,92.500,-31.640
N220195_1,1,132.000,-31.640
N220199_1,1,80.000,34.820
N220199_1,2,150.000,52.290
N220206_1,1,23.200,-0.900
N220206_1,2,116.000,-0.900
N220209_1,1,106.000,0.000
N220214_1,1,104.300,-4.000
N220216_1,1,196.600,-30.120
N220219_1,1,10.000,-5.000
N220219_1,2,20.000,-4.500
N220219_1,3,30.000,-4.000
N220219_1,4,40.000,-3.500
N220219_1,5,50.000,-3.000
N220219_1,6,60.000,-2.500
N220219_1,7,70.000,-2.000
N220219_1,8,75.000,-1.500
N220219_1,9,78.800,-1.050
N220222_1,1,200.000,-7.460
N220225_2,1,180.000,-7.460
N220228_1,1,20.000,-0.900
N220228_1,2,100.000,-0.900
N220230_1,1,118.500,-38.250
N220234_1,1,118.500,-38.250
N220245_1,1,180.000,-7.460
N220250_1,1,125.000,0.000
N220253_1,1,20.000,-0.900
N220253_1,2,100.000,-0.900
N220256_1,1,100.000,0.010
N230259_1,1,258.000,6.110
N230259_1,2,363.000,6.280
N230259_1,3,364.000,14.620
N230259_1,4,603.000,14.800
N230259_1,5,665.000,14.970
N230259_1,6,721.000,15.140
N230259_1,7,773.000,15.320
N230259_1,8,821.000,15.490
N230259_1,9,837.000,15.660
N230260_1,1,373.950,13.440
N230260_1,2,831.000,13.440
N230271_1,1,422.000,1.680
N230271_1,2,501.000,1.720
N230271_1,3,573.000,1.770
N230271_1,4,644.000,1.830
N230271_1,5,715.000,1.900
N230271_1,6,787.000,1.960
N230271_1,7,855.000,2.020
N230272_1,1,425.000,1.650
N230272_1,2,503.000,1.670
N230272_1,3,575.000,1.700
N230272_1,4,645.000,1.750
N230272_1,5,715.000,1.790
N230272_1,6,788.000,1.830
N230272_1,7,855.000,1.880
N230276_1,1,12.000,65.040
N230276_1,2,28.000,66.040
N230276_1,3,104.000,105.180
N230281_1,1,80.000,10.000
N230281_1,2,152.000,10.010
N230282_1,1,80.000,10.000
N230282_1,2,153.000,10.010
N230293_2,1,8.300,46.440
N240202_1,1,5.800,1999.910
N240202_1,2,29.000,1999.910
N240202_2,1,5.800,1999.910
N240202_2,2,29.000,1999.910
N240210_1,1,29.000,-33.150
N240210_1,2,33.000,-32.900
N240210_1,3,38.300,-32.650
N240214_1,1,19.760,-31.640
N240214_1,2,98.800,-31.640
N240217_1,1,120.600,-34.840
N240219_1,1,25.000,-34.100
N240219_1,2,49.000,-33.600
N240219_1,3,74.000,-33.100
N240219_1,4,99.000,-32.600
N240219_1,5,114.000,-32.100
N240221_1,1,48.000,-34.090
N240221_1,2,96.000,-33.590
N240221_1,3,144.000,-33.090
N240221_1,4,192.000,-32.590
N240221_1,5,240.000,-32.090
N240222_1,1,38.000,-34.520
N240222_1,2,76.000,-34.020
N240222_1,3,114.000,-33.520
N240222_1,4,152.000,-33.020
N240222_1,5,190.000,-32.520
N240223_1,1,44.000,-34.180
N240223_1,2,88.000,-33.680
N240223_1,3,132.000,-33.180
N240223_1,4,176.000,-32.680
N240223_1,5,213.000,-32.180
N240225_1,1,135.000,-36.000
N240228_1,1,60.000,-35.000
N240228_1,2,119.000,-31.000
N240230_1,1,80.500,-2.990
N240233_1,1,194.000,-24.690
N240236_1,1,100.000,-5.000
N240239_1,1,117.000,-1.490
N240241_1,1,126.500,-4.900
N240244_1,1,119.000,-4.900
N240248_1,1,170.200,-1.490
N240250_1,1,76.000,-4.500
N240250_1,2,88.000,-4.250
N240250_1,3,101.200,-4.000
N240255_1,1,80.000,0.000
N240256_1,1,13.920,-31.640
N240256_1,2,69.600,-31.640
N240258_1,1,32.000,-34.090
N240258_1,2,64.000,-33.580
N240258_1,3,96.000,-33.070
N240258_1,4,128.000,-32.560
N240258_1,5,160.000,-32.050
N240259_1,1,40.000,-34.150
N240259_1,2,80.000,-33.640
N240259_1,3,120.000,-33.130
N240259_1,4,160.000,-32.620
N240259_1,5,186.000,-32.110
N240260_1,1,46.000,-34.160
N240260_1,2,92.000,-33.660
N240260_1,3,138.000,-33.160
N240260_1,4,149.500,-32.660
N240261_1,1,24.000,-34.150
N240261_1,2,48.000,-33.640
N240261_1,3,72.000,-33.130
N240261_1,4,96.000,-32.620
N240261_1,5,112.500,-32.110
N240266_1,1,169.500,0.000
N240269_1,1,120.000,1.940
N240272_1,1,32.460,-31.640
N240272_1,2,162.300,-31.640
N240275_1,1,39.900,-31.640
N240275_1,2,199.500,-31.640
N240278_2,1,125.000,-4.900
N240280_2,1,100.000,-4.900
N240282_1,1,30.000,-31.640
N240282_1,2,150.000,-31.640
N240284_1,1,48.000,-3.990
N240285_1,1,51.000,-3.990
N240288_1,1,55.000,-3.000
N240288_1,2,100.000,0.000
N240291_1,1,122.000,-31.640
N240293_1,1,132.000,-35.000
N240296_1,1,0.100,-32.910
N240296_1,2,160.000,-32.900
N240301_1,1,125.000,-31.650
N240304_1,1,150.000,-31.650
N240307_1,1,3.400,-31.640
N240307_1,2,150.000,-31.640
N240312_1,1,0.100,-31.650
N240312_1,2,199.500,-31.640
N240317_1,1,150.000,-31.640
N240320_1,1,150.000,-31.640
N250347_1,1,35.000,51.980
N250347_1,2,502.000,53.760
N250348_1,1,35.000,57.460
N250348_1,2,36.000,57.500
N250348_1,3,167.000,62.450
N250354_1,1,50.000,55.010
N250354_1,2,51.000,55.030
N250354_1,3,235.000,59.350
N250358_1,1,198.000,39.310
N250358_1,2,299.000,39.320
N250358_1,3,396.000,39.330
N250358_1,4,490.000,39.340
N250358_1,5,584.000,39.350
N250358_1,6,681.000,39.360
N250358_1,7,800.000,39.370
N250359_1,1,200.000,40.030
N250359_1,2,301.000,40.040
N250359_1,3,398.000,40.050
N250359_1,4,491.000,40.060
N250359_1,5,585.000,40.070
N250359_1,6,681.000,40.080
N250359_1,7,805.000,40.090
N250360_1,1,194.000,39.410
N250360_1,2,296.000,39.420
N250360_1,3,393.000,39.430
N250360_1,4,488.000,39.440
N250360_1,5,583.000,39.450
N250360_1,6,680.000,39.460
N250360_1,7,805.000,39.470
N250376_1,1,10.000,-0.900
N260208_1,1,150.000,28.310
N260208_1,2,151.000,28.370
N260208_1,3,211.000,32.260
N260208_1,4,212.000,39.520
N260208_1,5,222.000,40.170
N260208_1,6,223.000,46.400
N260208_1,7,231.000,46.920
N260208_1,8,232.000,55.720
N260208_1,9,260.000,58.760
N260209_1,1,150.000,28.450
N260209_1,2,151.000,28.540
N260209_1,3,205.000,33.240
N260209_1,4,206.000,40.520
N260209_1,5,216.000,41.390
N260209_1,6,217.000,47.650
N260209_1,7,225.000,48.350
N260209_1,8,226.000,57.170
N260209_1,9,260.000,61.780
N260210_1,1,150.000,30.490
N260210_1,2,209.000,33.260
N260210_1,3,210.000,40.510
N260210_1,4,220.000,40.980
N260210_1,5,221.000,47.200
N260210_1,6,229.000,47.570
N260210_1,7,230.000,56.350
N260210_1,8,260.000,58.650
N260211_1,1,150.000,31.580
N260211_1,2,151.000,31.650
N260211_1,3,209.000,35.640
N260211_1,4,210.000,42.900
N260211_1,5,220.000,43.590
N260211_1,6,221.000,49.830
N260211_1,7,229.000,50.380
N260211_1,8,230.000,59.180
N260211_1,9,259.000,62.550
N260212_1,1,150.000,28.520
N260212_1,2,151.000,28.610
N260212_1,3,225.000,35.840
N260212_1,4,226.000,43.130
N260212_1,5,238.000,44.300
N260212_1,6,239.000,50.570
N260212_1,7,247.000,51.350
N260212_1,8,248.000,60.180
N260212_1,9,279.000,64.180
N260213_1,1,110.000,22.620
N260213_1,2,111.000,22.700
N260213_1,3,225.000,31.020
N260213_1,4,226.000,38.300
N260213_1,5,238.000,39.170
N260213_1,6,239.000,45.420
N260213_1,7,247.000,46.000
N260213_1,8,248.000,54.800
N260213_1,9,284.000,57.800
N270212_1,1,150.000,30.420
N270212_1,2,151.000,30.480
N270212_1,3,203.000,33.420
N270212_1,4,204.000,39.950
N270212_1,5,210.000,40.580
N270214_1,1,150.000,26.090
N270214_1,2,151.000,26.160
N270214_1,3,210.000,31.540
N270215_1,1,150.000,31.600
N270215_1,2,151.000,31.660
N270215_1,3,205.000,34.840
N270215_1,4,206.000,41.370
N270215_1,5,211.000,42.020
