Injector,MinDispatch,MinOn,MinOff,MinTime,BaseCost,DefaultMustRun,HotStartCost,WarmStartCost,ColdStartCost,TimeToWarm,TimeToCold,HotUpTime,WarmUpTime,ColdUpTime
N230286_1,90.000,8,4.5,0,0,0,21566.000,26961.100,31286.900,5,40,0,0,0.1667
N230287_1,90.000,8,4.5,0,0,0,21566.000,26961.100,31286.900,5,40,0,0,0.1667
N230290_1,27.000,8,4.5,0,0,0,275.400,275.400,275.400,5,40,0,0,0.1667
N230290_2,0.500,8,4.5,0,0,0,1093.500,1093.500,1093.500,5,40,0,0,0.1667
N250347_1,35.000,6,4,0,0,0,28621.800,34172.000,36072.300,4,48,0,0,1
N250348_1,35.000,6,4,0,0,0,21918.500,27313.600,31639.400,4,48,0,0,1
N250354_1,50.000,6,4,0,0,0,30337.600,32589.300,38545.800,4,48,0,0,1
N250358_1,198.000,8,8,0,0,0,40378.950,64099.340,88873.170,12,40,0,0,0.1667
N250359_1,200.000,8,8,0,0,0,45525.090,61147.860,78944.110,12,40,0,0,0.1667
N250360_1,194.000,8,8,0,0,0,45328.350,82269.760,82269.760,12,40,0,0,0.1667
N250363_1,90.000,8,4.5,0,0,0,11249.500,11249.500,11249.500,5,40,0,0,1
N250364_1,90.000,8,4.5,0,0,0,11266.500,11266.500,11266.500,5,40,0,0,1
N250365_1,90.000,8,4.5,0,0,0,11249.500,11249.500,11249.500,5,40,0,0,1
N250367_1,80.000,8,4.5,0,0,0,26611.680,36654.560,51718.880,5,40,0,0,0.1667
N250368_1,80.000,8,4.5,0,0,0,26569.180,36612.060,51676.380,5,40,0,0,0.1667
N250369_1,90.000,8,4.5,0,0,0,21549.000,26944.100,31269.900,5,40,0,0,0.1667
N250370_1,90.000,8,4.5,0,0,0,21549.000,26944.100,31269.900,5,40,0,0,0.1667
N250371_1,90.000,8,4.5,0,0,0,11266.500,11266.500,11266.500,5,40,0,0,0.1667
N250372_1,90.000,8,4.5,0,0,0,11266.500,11266.500,11266.500,5,40,0,0,0.1667
N250374_1,70.000,12,12,0,0,0,1000.000,1000.000,1000.000,4,48,0,0,1
N260208_1,150.000,8,4.5,0,0,0,17546.000,18807.740,20571.950,5,40,0,0,0.1667
N260209_1,150.000,8,4.5,0,0,0,14081.000,15642.740,17196.950,5,40,0,0,0.1667
N260210_1,150.000,8,4.5,0,0,0,17516.000,18792.740,20571.950,5,40,0,0,0.1667
N260211_1,150.000,8,4.5,0,0,0,20837.500,22293.740,23938.450,5,40,0,0,0.1667
N260212_1,150.000,8,4.5,0,0,0,14362.500,15804.240,17178.450,5,40,0,0,0.1667
N260213_1,110.000,8,4.5,0,0,0,17750.000,19251.740,20595.950,5,40,0,0,0.1667
N270207_1,50.000,8,4.5,0,0,0,19565.090,27648.170,37519.750,5,40,0,0,1
N270208_1,80.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,1
N270209_1,80.000,8,4.5,0,0,0,21557.500,26952.600,31278.400,5,40,1.5,3,3
N270210_1,80.000,8,4.5,0,0,0,21557.500,26952.600,31278.400,5,40,1.5,3,3
N270212_1,150.000,8,4.5,0,0,0,20192.000,21934.000,21945.000,5,40,0,0,0.1667
N270214_1,150.000,8,4.5,0,0,0,20192.000,20193.000,20194.000,5,40,0,0,0.1667
N270215_1,150.000,8,4.5,0,0,0,16825.500,18567.500,18568.500,5,40,2,3.5,3.5
N270217_1,138.500,8,4.5,0,0,0,26781.680,36824.560,51888.880,5,40,2,3.5,3.5
N270218_1,138.800,8,4.5,0,0,0,26781.680,36824.560,51888.880,5,40,2,3.5,12
N270219_1,100.000,8,4.5,0,0,0,11258.000,11258.000,11258.000,5,40,1.5,3,12
N270220_1,100.000,8,4.5,0,0,0,11258.000,11258.000,11258.000,5,40,0,0,1
N270221_1,100.000,8,4.5,0,0,0,11258.000,11258.000,11258.000,5,40,0,0,1
N270222_1,100.000,8,4.5,0,0,0,11258.000,11258.000,11258.000,5,40,1.5,3,3
